#,Series,Division,Match Type,Date,Time,Team One,Team Two,Ground
143,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,BPL Youth,Wildcats,Skoke West
144,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,Bullfincherz,Rising Starz Youth,"James Park, Evanston"
145,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,15:30,CYCA Underdogs,Midwest Vipers,Vernon Hills
146,Leather Ball 2026,Blast T20,League,05/02/2026,12:00,DeePark Dynamites,Knotty 40,Gurnee
147,Leather Ball 2026,Blast T20,League,05/02/2026,12:00,Brothers XI,Challengers,Heritage Park
148,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Midwest CC,Panthers,Tigers Park
149,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Anjuman,Pak Gymkhana,Gurnee
150,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Dolphins,SBCC Slayers,Naperville East
151,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,DMavs Stallions,Warriors,Plainfield Northwest
152,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,BPL Youth,DeePark Dynamites,Plainfield Grande Park old
153,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,CYCA Underdogs,Deccan Heroes,balstrod b.brook
154,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Barrington Crescent Cricket Club,CYCA Elite,Crescent
155,Leather Ball 2026,Yash Premier League,League,05/02/2026,08:30,Evanston CC,Kings XI Chicago,South Barrington OLD
156,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Midwest Vipers,Rising Starz Youth,Hanover Park
157,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Bullfincherz,Kings,Heritage Park
158,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Black Caps,Chicago Warriors,Skoke East
159,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Schaumburg Strikers,Spartans,Skoke West
160,Leather Ball 2026,Elite White Ball Division II,League,05/02/2026,08:30,Hawks,Oh Gawd XI,Vernon Hills
161,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Challengers,SBCC Slayers,Tigers Park
162,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Midwest CC,Rovers,Gurnee
163,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Deccan Mavericks,Streamwood Cricket Club,Naperville East
164,Leather Ball 2026,RedBall Premier,League,05/03/2026,15:30,Club Cricket of Chicago,Milwaukee Panthers,Plainfield Northwest
165,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Rising Starz Youth,South Barrington Cricket Club,Plainfield Grande Park old
166,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,AAA,DeePark Dynamites,balstrod b.brook
167,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,CYCA Underdogs,Wildcats,WP 1
168,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,BPL Youth,Spartans,WP 2
169,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Dominators,Kings,Tippecone Park
170,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Schaumburg Strikers,Stars,Crescent
171,Leather Ball 2026,RedBall Division II,League,05/03/2026,15:30,Chicago Warriors,Midwest Blizzards,South Barrington OLD
172,Leather Ball 2026,Blast T20,League,05/03/2026,15:30,Chicago Saifee Warriors,Knotty 40,Hanover Park
173,Leather Ball 2026,RedBall Division II,League,05/03/2026,15:30,DMavs Stallions,Evanston CC,"James Park, Evanston"
174,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,15:30,Black Caps,Hawks,Vernon Hills
175,Leather Ball 2026,Blast T20,League,05/03/2026,12:00,Desi Tigers,The Underdawg XI,Gurnee
176,Leather Ball 2026,Blast T20,League,05/03/2026,12:00,Brothers XI,Knotty 40,Hanover Park
177,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,CYCA Elite,SBCC Slayers,Tigers Park
178,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Deccan Mavericks,Midwest CC,Gurnee
179,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Club Cricket of Chicago,Rovers,Naperville East
180,Leather Ball 2026,RedBall Premier,League,05/03/2026,08:30,Cardinals United,Milwaukee Panthers,Plainfield Northwest
181,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,BPL Youth,South Barrington Cricket Club,Plainfield Grande Park old
182,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,AAA,Stars,balstrod b.brook
183,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Bullfincherz,Dominators,WP 1
184,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Black Caps,Deccan Heroes,WP 2
185,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Rising Starz Youth,Spartans,Tippecone Park
186,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,DMavs Stallions,Schaumburg Strikers,Crescent
187,Leather Ball 2026,Elite White Ball Division II,League,05/03/2026,08:30,Kings,Oh Gawd XI,South Barrington OLD
188,Leather Ball 2026,Blast T20,League,05/03/2026,08:30,Challengers,DeePark Dynamites,Hanover Park
189,Leather Ball 2026,RedBall Division II,League,05/03/2026,08:30,Chicago Warriors,Evanston CC,"James Park, Evanston"
190,Leather Ball 2026,RedBall Division II,League,05/03/2026,08:30,CYCA Underdogs,Midwest Blizzards,Vernon Hills
191,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Dolphins,Evanston CC,Tigers Park
192,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Midwest CC,SBCC Slayers,Gurnee
193,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Deccan Mavericks,Pak Gymkhana,Naperville East
194,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,CYCA Elite,Kings XI Chicago,Plainfield Northwest
195,Leather Ball 2026,Yash Premier League,League,05/09/2026,15:30,Anjuman,Deepark Dynamites,Plainfield Grande Park old
196,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,DeePark Dynamites,Wildcats,balstrod b.brook
197,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,15:30,BPL Youth,CYCA Underdogs,WP 1
198,Leather Ball 2026,RedBall Division II,League,05/09/2026,15:30,Black Caps,DMavs Stallions,WP 2
199,Leather Ball 2026,RedBall Division II,League,05/09/2026,15:30,Chicago Warriors,Club Cricket of Chicago,Tippecone Park
200,Leather Ball 2026,Blast T20,League,05/09/2026,15:30,Shaheens of Pakistan,The Underdawg XI,Heritage Park
201,Leather Ball 2026,Blast T20,League,05/09/2026,12:00,Chicago Saifee Warriors,Desi Tigers,Gurnee
202,Leather Ball 2026,Blast T20,League,05/09/2026,12:00,Midwest Bison,The Underdawg XI,Heritage Park
203,Leather Ball 2026,Blast T20,League,05/09/2026,08:30,Challengers,Club Cricket of Chicago,Gurnee
204,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,DMavs Stallions,Dominators,Naperville East
205,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,CYCA Underdogs,Schaumburg Strikers,Plainfield Northwest
206,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,Bullfincherz,DeePark Dynamites,Plainfield Grande Park old
207,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Barrington Crescent Cricket Club,Pak Gymkhana,Crescent
208,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Anjuman,Dolphins,South Barrington OLD
209,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Kings XI Chicago,SBCC Slayers,Hanover Park
210,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Evanston CC,Midwest CC,Heritage Park
211,Leather Ball 2026,Yash Premier League,League,05/09/2026,08:30,Deepark Dynamites,Panthers,Skoke East
212,Leather Ball 2026,Elite White Ball Division II,League,05/09/2026,08:30,BPL Youth,Chicago Warriors,Skoke West
